genre,x,y,hex_colour
ccm,353,13411,#9c8a0f
cdmx indie,529,13746,#a18731
cedm,692,16620,#b68835
ceilidh,724,8028,#8e925b
cello,367,5846,#559a8b
celtic,596,5819,#679624
celtic harp,765,1944,#2eb2af
celtic metal,204,13249,#cb682d
celtic punk,361,12503,#cf6911
celtic rock,429,9587,#a67d1d
central american metal,271,12331,#de5447
central asian folk,765,3208,#489d4b
central asian hip hop,1047,13633,#a48c09
cerkes muzikleri,726,13248,#b68a23
cha-cha-cha,959,5155,#7f8540
chaabi algerien,731,4080,#888825
chaabi marocain,806,10157,#c67409
chakra,67,2273,#2e41c1
chalga,933,16746,#c0821d
chamame,1011,6165,#808f10
chamame brasilero,901,10881,#9e8a16
chamber choir,118,440,#229c41
chamber ensemble,347,1104,#23a696
chamber folk,469,4737,#4ea13c
chamber orchestra,322,1377,#27a59a
chamber pop,478,7215,#6e9539
chamber psych,452,10418,#91895f
champeta,1080,16972,#c98005
channel islands indie,559,9912,#968b25
channel pop,758,9336,#769a09
chanson,739,5469,#69910a
chanson paillarde,1020,8304,#8c8004
chanson quebecois,664,6904,#7c900b
chanson virale,1001,12225,#ab8419
chant basque,571,6017,#778435
chant religieux,288,2702,#3ca31b
chaotic black metal,116,10011,#bf4e9b
chaotic hardcore,139,10048,#de455e
chapman stick,610,6262,#649abb
charanga,1005,6178,#868915
charango,961,6954,#8a8d47
charlotte nc indie,440,10819,#a87d29
charlottesville indie,515,9312,#848f1f
charred death,120,12172,#e04272
chattanooga indie,576,10467,#8d8a1f
chechen pop,885,14508,#c8790c
chennai indie,636,12858,#908d2d
chhattisgarhi pop,783,9401,#cc7201
chicago blues,1003,4535,#777f1d
chicago bop,964,15263,#9e9102
chicago drill,980,14182,#a29001
chicago hardcore,265,11497,#e34c3d
chicago house,1246,18870,#bb8179
chicago indie,520,9886,#9a8039
chicago pop punk,286,14818,#d76017
chicago punk,320,12709,#dc5723
chicago rap,1011,13647,#a78a09
chicago soul,744,6225,#7f8107
chicano punk,361,10761,#e4532c
chicano rap,1136,15760,#a98106
chicha,995,9896,#ae8d22
chihuahua indie,569,12638,#a38423
children's choir,520,5432,#549721
children's folk,1031,7931,#629408
children's music,986,8738,#689825
children's story,1248,5445,#498009
chilean black metal,97,9754,#cc477e
chilean hardcore,495,14175,#d26519
chilean indie,734,10981,#968b25
chilean metal,250,10578,#d35756
chilean rock,711,10896,#a0801b
chilena,1074,9860,#ae8917
chill baile,1102,16216,#a28d45
chill beats,964,16102,#87a1b5
chill groove,1014,17290,#9f92af
chill guitar,1111,2715,#24b3d4
chill lounge,872,15684,#8f9aa5
chill out,763,13712,#76a1b8
chill pop,832,10930,#769a1b
chill r&b,907,11285,#81970d
chill-out trance,751,16974,#a394ab
chillhop,1063,10425,#778f94
chillstep,566,15153,#a3958b
chillwave,543,14544,#a58869
chinderlieder,1113,7662,#6c8c09
chinese audiophile,543,6165,#5ca204
chinese classical,336,1401,#26988f
chinese classical performance,347,848,#22a5bc
chinese classical piano,461,579,#23a3cc
chinese drama ost,495,8630,#7c9831
chinese electronic,889,16076,#a48b97
chinese electropop,774,14964,#a48f13
chinese experimental,667,11777,#908681
chinese folk,457,8544,#81950c
chinese hip hop,1024,14169,#ad870e
chinese idol pop,774,15634,#ac8a0f
chinese indie,547,10761,#878e1b
chinese indie pop,610,14285,#989032
chinese indie rock,461,12832,#aa7d46
chinese instrumental,369,5807,#4ca689
chinese jazz,781,7051,#6c9857
chinese manyao,858,15457,#a69217
chinese metal,295,15153,#c66b5e
chinese minyao,599,7657,#6d9b1c
chinese new year,694,11287,#9e8e07
chinese opera,627,263,#339e4b
chinese post-punk,359,12944,#bc7470
chinese post-rock,367,9385,#7d949a
chinese punk,423,13744,#d45f1d
chinese r&b,721,11263,#869109
chinese singer-songwriter,559,11043,#83960f
chinese soundtrack,328,6192,#419eaf
chinese talent show,765,11055,#8b9541
chinese traditional,223,3296,#339cbd
chinese viral pop,870,14245,#95971e
chinese wind,359,2032,#32ac88
chinese worship,436,7153,#689a22
chip hop,872,13927,#aa7e4a
chiptune,621,15330,#a286a5
chopped and screwed,1069,13534,#958806
choral,219,1018,#249f41
choro,868,4220,#649768
choro contemporaneo,974,5079,#729c93
christchurch indie,467,11387,#9b8843
christelijk,363,7066,#5d964c
christian a cappella,438,5167,#519107
christian afrobeat,911,13737,#ad8806
christian alternative rock,403,14018,#a6840f
christian dance,935,18188,#bb827c
christian deathcore,195,14027,#e64a53
christian hard rock,261,15710,#cc6e1a
christian hardcore,265,11374,#e1502f
christian hip hop,963,12962,#ad8509
christian indie,425,9103,#829410
christian metal,322,13796,#cf6024
christian metalcore,201,14105,#e3532f
christian music,395,12858,#99890f
christian pop,515,13759,#9e8b0f
christian power metal,204,14769,#d5631b
christian punk,413,14101,#c96b1a
christian relaxative,540,5718,#46a583
christian rock,324,15799,#c96f10
christian symphonic metal,166,12109,#ba6b40
christian thrash metal,318,11902,#db573f
christian trap,995,12012,#a38b08
christian uplift,332,10379,#81911a
christlicher rap,980,11335,#ab860a
christmas instrumental,810,4763,#47a2aa
christmas product,643,6311,#52a15a
chutney,806,6201,#8c821e
cifteli,774,8003,#ac8004
cimbalom,708,3928,#6a986b
cimbalova muzika,508,2311,#48a610
cincinnati indie,381,11338,#af7834
cincinnati rap,1080,14647,#909805
cinematic dubstep,1100,17555,#ad8aa2
cinematic post-rock,197,9324,#7495c9
circassian folk,692,13223,#a78834
circuit,1156,18945,#d97887
circus,680,6695,#788092
city pop,786,14206,#a58718
classic afrobeat,959,8365,#ae7d2d
classic anime,576,13041,#9e7d40
classic arab pop,584,5893,#7b8917
classic australian country,874,7772,#7c8f05
classic azeri pop,552,5508,#769221
classic bangla pop,615,5117,#629819
classic belgian pop,734,11667,#9a8508
classic bhangra,988,11285,#c07313
classic bollywood,692,4864,#7b8721
classic bulgarian pop,736,12439,#9a8822
classic canadian rock,522,10330,#a37b12
classic cantopop,610,9624,#7f9104
classic city pop,741,12501,#978812
classic colombian pop,1095,8027,#85960e
classic country pop,726,6349,#64920a
classic czech pop,624,6608,#848a07
classic danish pop,760,10380,#8f890b
classic danish rock,610,9324,#94831c
classic dubstep,986,17240,#b38885
classic dutch pop,694,12600,#9c861d
classic eurovision,683,6707,#779210
classic finnish pop,713,7063,#7b8e06
classic finnish rock,686,8273,#8e840f
classic french pop,767,12576,#a3840e
classic garage rock,584,9225,#a4721e
classic girl group,703,7213,#8e7e05
classic greek pop,736,5979,#789115
classic greek rock,633,9397,#898a10
classic hardstyle,610,17593,#e56447
classic house,1204,18844,#c37d73
classic hungarian pop,734,12697,#a97d10
classic hungarian rock,517,10523,#a97615
classic icelandic pop,746,9212,#838b0c
classic indo pop,576,11876,#8d9610
classic indonesian rock,478,12650,#af7d11
classic iskelma,708,6657,#798f07
classic israeli pop,664,7325,#828f0b
classic italian folk pop,700,7225,#7d9220
classic italian pop,667,6399,#7c8f09
classic j-pop,559,15647,#ba7b1a
classic j-rock,531,13585,#b9711b
classic japanese jazz,777,5419,#678f88
classic k-pop,832,15470,#ae8013
classic kollywood,765,3613,#84882b
classic konkani pop,756,5692,#808016
classic korean pop,491,7707,#6c9811
classic latvian pop,770,7164,#708e29
classic luk thung,584,6806,#719904
classic malaysian pop,552,11118,#97890c
classic mandopop,529,8004,#769705
classic moroccan pop,836,7907,#a9791d
classic nepali pop,375,6932,#5f9b63
classic norwegian pop,697,8261,#79910c
classic nz country,760,5893,#5f962d
classic nz pop,686,10206,#918418
classic opm,543,7300,#719710
classic pakistani pop,731,5881,#858620
classic persian pop,643,6140,#7a9020
classic peruvian pop,1009,7711,#948d14
classic polish pop,736,6645,#778d09
classic portuguese pop,813,13791,#aa8405
classic praise,401,9005,#769112
classic progressive house,1067,18645,#c384b4
classic psychedelic rock,471,7276,#927f33
classic punjabi pop,992,9089,#b97509
classic rock,677,8187,#9a771a
classic romanian pop,980,17164,#ba821a
classic russian pop,813,12182,#9d8209
classic russian rock,705,10486,#987d16
classic schlager,670,9710,#9a8506
classic sinhala pop,849,9824,#918f0d
classic soul,806,6954,#7e820f
classic soundtrack,295,3853,#47969e
classic swedish pop,689,9794,#8e880a
classic thai pop,711,12012,#869308
classic tollywood,726,3083,#7d8529
classic tunisian pop,574,5472,#6f5466
classic turkish pop,557,5905,#818a0d
classic uk pop,650,8360,#898414
classic venezuelan pop,927,7698,#928914
classical,373,800,#24a08f
classical accordion,557,3158,#479c60
classical baritone,421,812,#34911e
classical bass,405,664,#359030
classical bassoon,403,1226,#23a5be
classical cello,297,640,#21a4b4
classical clarinet,739,2956,#459a76
classical contralto,405,276,#2da31c
classical countertenor,425,970,#27a016
classical era,450,738,#20a398
classical flute,421,1571,#27a8a5
classical guitar,923,920,#28acd6
classical guitar duo,968,844,#28add0
classical guitar quartet,986,1097,#26a8dd
classical harp,627,775,#1cafb6
classical horn,401,1043,#1ca8bb
classical jazz fusion,795,3690,#4d9fa9
classical mandolin,992,3802,#45a186
classical mezzo-soprano,399,750,#2c9e13
classical oboe,355,1895,#28a2a3
classical organ,72,2336,#1e9eb1
classical percussion,694,3044,#34a0ac
classical performance,359,1019,#2a9a7f
classical piano,508,326,#20a2d5
classical piano duo,670,920,#1aa3da
classical piano trio,367,340,#1da48e
classical saxophone,373,2184,#2ba7ac
classical saxophone quartet,489,824,#27b1bc
classical soprano,340,444,#2e9e1c
classical string trio,381,701,#19ad81
classical tenor,260,800,#4a9711
classical trombone,457,1141,#21a1cd
classical trumpet,576,3372,#429898
classical tuba,450,982,#1ba5d5
classify,674,4333,#42aac2
clawhammer banjo,909,5167,#61a06c
clean comedy,990,3398,#9f4904
cleveland indie,334,11093,#b57335
cleveland metal,224,11570,#de4f33
coco,1031,8838,#b07d05
cocuk masallari,1087,5016,#5b8c0c
cocuk sarkilari,670,5831,#4b9d5d
coldwave,564,15431,#a88368
collage pop,522,9385,#917759
college a cappella,526,7042,#7e9104
college marching band,677,4459,#7759ab
cologne electronic,1089,17442,#9493bd
cologne hip hop,1065,11999,#af880d
cologne indie,589,13722,#a98233
colombian black metal,100,9827,#d84182
colombian death metal,164,9876,#ed2f8a
colombian electronic,1084,18386,#b68bcf
colombian hardcore,292,12515,#e75025
colombian hip hop,1104,13036,#ab820c
colombian indie,748,13065,#968f33
colombian pop,982,15609,#b68b01
colombian rock,772,14299,#b87918
colorado hardcore,234,11362,#e64a39
columbus ohio indie,446,9808,#a87425
combos nacionales,1124,10437,#ae920e
comedia,1154,3057,#746e04
comedienne,1107,2526,#8d5b05
comedy,1020,3107,#9a4a05
comedy rap,1122,13459,#9c7b0c
comedy rock,1172,6204,#599304
comic,951,8126,#93720d
comic metal,434,14301,#cf5c21
commons,607,10724,#7b947f
complextro,808,17427,#c77e5a
compositional ambient,330,2715,#2fa1bb
comptine,1111,7919,#589f14
comptine africaine,1169,8064,#85941d
concepcion indie,417,11436,#b77d1c
concert band,387,1805,#418dbf
concertina,923,3878,#55a68f
congolese gospel,756,10082,#b4860c
connecticut hardcore,301,11167,#e45229
connecticut indie,467,8679,#998429
conscious hip hop,1039,11199,#b0780b
contemporary choir,127,566,#1ca247
contemporary classical,336,1068,#1e9a8a
contemporary classical piano,596,1043,#1a9bba
contemporary country,557,13612,#a38801
contemporary folk,797,5506,#509e0d
contemporary gospel,615,9237,#a37605
contemporary jazz,705,4131,#519686
contemporary post-bop,830,3601,#59925c
contemporary vocal jazz,788,4599,#4d9d0d
contrabass,347,1527,#22a2bd
convent,161,542,#1ab75c
cook islands pop,951,14891,#b3840c
cool jazz,903,2968,#529169
copla,788,2361,#5a960e
coptic hymn,508,4131,#469c07
coral gospel,405,8335,#73941a
cork indie,495,8347,#7c8f1d
cornetas y tambores,543,3435,#5a8ca5
cornish folk,734,5142,#4f9512
cornwall indie,454,9159,#988425
corrido,1047,8801,#9b8c03
corridos cristianos,976,9677,#a18c0f
corridos tumbados,997,8677,#a08f01
corrosion,361,16139,#ba7451
corsican folk,511,5066,#609917
cosmic american,674,6559,#818429
cosmic black metal,52,9999,#ae4cba
cosmic post-rock,219,10244,#7f8fca
cosmic uplifting trance,561,18895,#e472bf
country,711,8713,#818b09
country blues,1095,2184,#4d9327
country boogie,1047,4246,#5f8c1b
country dawn,576,10045,#8b8e02
country gospel,903,4523,#599410
country pop,533,14228,#aa8802
country quebecois,615,10082,#8f9105
country rap,957,15647,#b58304
country road,571,13830,#a38802
country rock,703,7288,#848513
coupe-decale,1030,14841,#c57b0c
coventry indie,554,15583,#bb701b
coverchill,891,8353,#5ca580
covertrance,826,17517,#bb864c
cowboy western,860,4700,#5b8f0f
cowpunk,434,10585,#c16620
crack rock steady,427,11791,#dd5525
croatian electronic,1195,19363,#ce7ec7
croatian folk,517,5783,#709515
croatian hip hop,1043,13173,#b77e16
croatian indie,584,11362,#af7a1a
croatian metal,284,14632,#da5c32
croatian pop,596,10969,#9c8804
croatian rock,627,13188,#b2790e
crossover prog,334,10785,#938937
crossover thrash,241,10308,#e93e36
crunk,1120,16013,#ab8203
crust punk,224,10071,#e13861
cryptic black metal,22,10308,#d92f9b
cuarteto,838,14126,#cb8003
cuatro puertorriqueno,986,7674,#899038
cuatro venezolano,1003,6141,#889241
cuban alternative,1001,9364,#9c861a
cuban electronic,945,17955,#cb7b8d
cuban rumba,990,5193,#877f39
cubaton,1071,15040,#cb8403
cueca chilena,786,8236,#9a7c04
cuento infantile,1194,4434,#59870d
cumbia,1140,9847,#a18e11
cumbia andina mexicana,1024,11031,#a2940c
cumbia boliviana,972,13827,#bc8808
cumbia chilena,931,13220,#bc8405
cumbia colombiana regia,1133,11664,#9e9209
cumbia del sureste,1120,13704,#a98d0f
cumbia ecuatoriana,1058,9503,#959117
cumbia funk,1020,8887,#b27e23
cumbia lagunera,1138,12709,#b48b09
cumbia paraguaya,1104,14989,#c08602
cumbia peruana,968,12733,#be9011
cumbia pop,1039,14678,#b88703
cumbia ranchera,951,13890,#b88602
cumbia salvadorena,1188,12658,#a08f09
cumbia santafesina,893,10399,#b78604
cumbia sonidera,1091,14307,#a3960d
cumbia sonorense,1073,9327,#a28b0a
cumbia surena,843,14042,#c58e0b
cumbia uruguaya,986,9027,#a58e04
cumbia villera,976,12325,#bd8504
cyber metal,217,17113,#e7574d
cybergrind,226,11693,#d04382
cyberpunk,454,16797,#bc7686
cymraeg,624,7067,#719414
cypriot metal,202,13882,#da5e3f
cypriot pop,664,10157,#938d0a
czech classical,292,529,#209f9c
czech classical piano,471,111,#1aa8c8
czech contemporary classical,363,1338,#239f7a
czech electronic,1045,17568,#ad91a9
czech folk,686,7274,#878809
czech hip hop,1016,14206,#a9880c
czech indie,526,11730,#93883b
czech metal,260,14003,#de593e
czech pop,689,11926,#9c8707
czech punk,467,13311,#d7630a
czech rock,571,9711,#9e800c
czsk black metal,99,11607,#da4569
czsk hip hop,1005,13497,#ac890d
czsk reggae,1013,14282,#be8009
d-beat,79,10676,#e92c68
dabke,708,8905,#9b7d0c
dainuojamoji poezija,779,7870,#6d9611
dakke dak,1013,17694,#cd7d31
dalarna indie,401,10634,#a77e17
dallas indie,484,12061,#a18229
dance pop,830,16468,#b78312
dance rock,705,17151,#c4722b
dance-punk,602,15507,#bc7446
dancehall,1115,11347,#b38803
dancehall colombiano,1185,15406,#b68804
dangdut,703,13535,#9d9410
dangdut koplo,806,14357,#b3940a
dangdut remix,925,16266,#bb930d
danish alternative rock,353,12171,#b17b32
danish black metal,46,9742,#bc4ea1
danish choir,202,689,#1da12d
danish classical,320,554,#1ba38c
danish contemporary classical,351,1287,#1da188
danish death metal,148,13858,#e84782
danish electro,763,18136,#b68589
danish electronic,1031,18029,#bc8474
danish electropop,830,15482,#97924f
danish experimental,419,7263,#7086a7
danish folk,569,4940,#5ea54b
danish hardcore,145,11756,#ea3f6e
danish hip hop,1043,14107,#ac8409
danish indie,508,11644,#998742
danish indie pop,515,8765,#7f943c
danish jazz,736,4296,#4c9886
danish metal,179,13744,#e15250
danish modern jazz,781,5917,#5e9892
danish pop,843,14647,#a7880a
danish pop rock,751,13350,#98880b
danish post-punk,276,11975,#c06c4b
danish punk,343,11914,#d65933
danish rock,353,14582,#be781c
danish singer-songwriter,557,7363,#769620
danish techno,1158,18337,#af8cc1
dansband,594,13127,#ae830a
danseband,633,12111,#a18a07
dansei seiyu,457,15861,#c57213
dansk lovsang,552,9042,#73981d
dansktop,748,9090,#898a0d
danspunk,677,12625,#b37907
darbuka,1115,14257,#bd7084
dark ambient,254,8040,#7078bc
dark black metal,22,9974,#db2c95
dark cabaret,589,7375,#878525
dark clubbing,664,17580,#c38491
dark disco,1250,18948,#ae91b6
dark electro,650,18503,#d1775b
dark electro-industrial,569,18048,#cf6d73
dark folk,361,6006,#569b82
dark hardcore,480,17846,#ed5944
dark jazz,332,7093,#5c91b3
dark minimal techno,1190,19274,#bb8dd3
dark post-punk,393,17239,#c07b81
dark progressive house,1213,19048,#b291d2
dark psytrance,870,18705,#e273b0
dark rock,292,16114,#c4722f
dark techno,1232,19388,#c687d3
dark trap,972,15836,#a38f16
dark wave,461,15899,#b27957
darkstep,774,17820,#e46e9f
darksynth,440,17454,#c588ad
dayton indie,391,11155,#af7725
dc hardcore,332,9734,#d24c3d
dc indie,513,11362,#9e823d
death 'n' roll,175,10958,#e7466f
death doom,76,10602,#bd61a2
death industrial,113,8454,#935eaa
death metal,166,10884,#e73c68
deathcore,212,13683,#e8454f
deathgrass,554,8691,#b66e1b
deathgrind,125,9779,#e92a85
deathrash,206,11387,#ea3e54
deathrock,318,13916,#c46751
deathstep,624,16139,#db7557
deconstructed club,615,11740,#968488
deep acoustic pop,586,11827,#8d8f21
deep active rock,235,16556,#d96714
deep adult standards,664,3524,#539109
deep ambient,172,5294,#4691cc
deep big room,584,17365,#e17853
deep brazilian pop,845,5844,#659b2b
deep breakcore,1050,17931,#c678b2
deep ccm,318,9402,#7e921d
deep chill,939,16114,#8d9aab
deep chill-out,915,16190,#8f9094
deep christian rock,569,11252,#8e8212
deep classic garage rock,677,10194,#a3772a
deep comedy,1073,2639,#9e4a01
deep contemporary country,643,10305,#899105
deep dance pop,760,16367,#b28313
deep darkpsy,887,18870,#eb6cb6
deep deep house,1391,19186,#ab8fc7
deep deep tech house,1332,19060,#bb8ac5
deep delta blues,937,1249,#4c9138
deep disco,1028,15301,#b3732e
deep disco house,1359,18794,#a98da7
deep discofox,849,17978,#e86908
deep dnb,1095,18066,#d184a2
deep downtempo fusion,363,7042,#6d9ca6
deep dubstep,1071,17467,#ab8e94
deep east coast hip hop,1129,14045,#ad7215
deep euro house,1337,18946,#a198b1
deep eurodance,974,17631,#b98452
deep filthstep,777,17316,#cb7d6f
deep flow,984,13596,#a97d25
deep folk metal,201,13387,#d05e4d
deep free jazz,708,3979,#568970
deep freestyle,993,17733,#b87d34
deep full on,923,18769,#e572ad
deep funk,961,11652,#b0773c
deep funk house,1409,19262,#ba7ea2
deep funk ostentacao,1262,14033,#ae8605
deep g funk,1151,15747,#a18213
deep german hip hop,997,10893,#b48417
deep german indie,586,13673,#9d882e
deep german punk,365,12907,#ce6623
deep gothic post-punk,405,15305,#bc795d
deep groove house,1185,18658,#d07b6d
deep happy hardcore,795,18061,#e27460
deep hardcore,860,17414,#c36e69
deep hardcore punk,391,9128,#cf5532
deep hardtechno,760,18718,#ee38b1
deep house,1225,18707,#bf827b
deep idm,841,14547,#9982ae
deep indie pop,500,11399,#9f823d
deep indie rock,538,13225,#a68227
deep indie singer-songwriter,589,9373,#7b960e
deep italo disco,993,14357,#978f64
deep jazz fusion,751,8905,#8c86a0
deep latin alternative,694,12992,#9f863f
deep latin christian,713,8687,#77980e
deep latin jazz,919,8487,#8a8f8c
deep liquid,1001,18410,#d38fad
deep liquid bass,1100,18053,#c889af
deep melodic death metal,188,15203,#e5514f
deep melodic hard rock,271,12919,#d36313
deep melodic metalcore,252,14215,#e05326
deep metalcore,261,15836,#de582d
deep minimal techno,1378,19388,#bd8dce
deep motown,734,6473,#937f12
deep neo-synthpop,713,17939,#bf8248
deep neofolk,471,7104,#609b38
deep new americana,576,7831,#858e12
deep new wave,670,16013,#b07429
deep norteno,959,10486,#b28c06
deep northern soul,751,9451,#938022
deep orgcore,353,11326,#d15e31
deep pop edm,838,17505,#be8a31
deep pop emo,340,14940,#ce6912
deep power-pop punk,322,12673,#db5819
deep progressive house,1211,19135,#b194ce
deep progressive trance,919,17918,#bb84a0
deep psychobilly,513,11265,#da5922
deep psytrance,1084,18547,#c788b5
deep punk rock,526,11411,#c46034
deep r&b,915,14030,#988f34
deep ragga,1218,14698,#9c8d06
deep rai,836,14311,#cc7008
deep regional mexican,1067,8638,#a08703
deep smooth jazz,968,11975,#8a9680
deep smooth r&b,897,12849,#8d8e0b
deep soft rock,680,10218,#7b8d26
deep soul house,1253,18681,#ac8bb4
deep soundtrack,215,4813,#34a2c2
deep southern soul,843,8199,#808613
deep southern trap,1089,14803,#a18b04
deep space rock,328,9838,#a57b87
deep sunset lounge,719,12401,#88a3a5
deep surf music,504,9997,#b47b99
deep swedish rock,363,13347,#c76b15
deep symphonic black metal,83,10627,#d1507c
deep talent show,584,12062,#9a8c07
deep tech house,1416,19440,#c18bc9
deep techno,1267,18908,#ae95cc
deep tropical house,959,17542,#ba8d41
deep turkish pop,799,14176,#af8407
deep underground hip hop,1016,12089,#a58b05
deep uplifting trance,763,18187,#cf7c7e
deep vocal house,941,18200,#c87b30
deep vocal jazz,821,3752,#4a9f0b
delaware indie,367,11484,#bd6d2a
delta blues,1100,2386,#598b24
dembow,1234,15431,#ca8205
demoscene,828,14799,#998598
denpa-kei,517,17252,#db6b35
denton tx indie,397,9887,#a27b3b
denver indie,471,10072,#9c8630
denver metal,173,12394,#e14c71
denver rap,992,12900,#9f8b07
depressive black metal,95,9766,#af59a0
derby indie,415,11252,#9e7d45
derry indie,474,8704,#918a1a
desert blues,925,8414,#928d2e
desi hip hop,1056,15217,#b78413
desi pop,767,7941,#938414
desi trap,1111,14486,#a29006
dessin anime,719,11117,#9d812c
destroy techno,1122,18176,#c1818e
detroit hip hop,1050,12164,#ab810e
detroit house,1269,18719,#af88a4
detroit indie,557,12538,#ab7d30
detroit rock,383,9537,#c2612b
detroit techno,1195,18374,#b386bb
detroit trap,1041,14878,#a48e02
detske pesnicky,1050,9227,#7c9308
detske pisnicky,1018,5769,#578a0b
detski pesnichki,1047,9884,#76991a
detskie pesni,1052,8938,#748e1b
detskie rasskazy,1269,2437,#367d01
deutsch disney,797,6176,#6e8305
devon indie,545,10535,#93890e
dfw rap,1095,14891,#a08d03
dhrupad,474,3221,#578f4d
didgeridoo,736,10169,#6f9880
digital hardcore,434,15735,#d2546c
dinner jazz,1176,5307,#36a7c2
dirty south rap,1095,15330,#a78504
dirty texas rap,1115,14853,#a38207
disco,872,12195,#9e7a17
disco house,1158,18781,#cb7b70
disco polo,945,17668,#c38213
discofox,819,17909,#e46b03
disney,486,5054,#539153
disney dansk,670,6041,#649407
disney espanol,708,7200,#7c8a13
disney horspiele,1154,4788,#995d00
disney italiano,667,4358,#5c8f07
disney norsk,607,5730,#708e0d
disney portugues,692,6374,#649808
disney portugues brasil,731,9040,#828e1b
disney russian,639,4915,#639116
disney svenska,880,6892,#748602
dissonant death metal,100,9238,#de3aa1
diva house,1076,18374,#c47b42
dixieland,1028,2753,#5a8471
diy emo,345,11988,#b27625
diy pop punk,334,13783,#de5a19
dizi,409,4181,#3da946
djembe,1263,5976,#9a7a9b
djent,226,14386,#d95a65
dmv rap,1080,13691,#999105
dombra,1011,4813,#679495
dominican indie,870,13161,#9b883f
dominican pop,1118,12225,#b68605
dong-yo,1024,11211,#899618
doo-wop,705,5768,#7a8206
doom metal,155,9925,#ba6c63
doomcore,550,17416,#e0508d
dortmund indie,500,15482,#bd7423
double drumming,522,7881,#a4704e
doujin,703,15280,#b38058
downtempo,806,15507,#9b8a77
downtempo bass,947,16139,#a08f8c
downtempo fusion,726,14697,#908f8c
draaiorgel,604,6103,#6c9877
dragspel,813,6608,#699a6c
drama,1332,5799,#477209
dream pop,365,10932,#9b7e60
dream trance,1060,18608,#c982a6
dreamgaze,190,13375,#ab7c88
dreamo,340,12834,#ae7b1a
dresden indie,504,11006,#a1822d
drift,95,3625,#3d94da
drill,970,14332,#a18f02
drill and bass,821,15052,#aa799f
drill espanol,1165,12863,#929602
drill francais,1144,14436,#959603
drill italiana,1039,12836,#a09303
drill tuga,1127,12824,#929010
drone,248,5521,#518dc0
drone ambient,36,2917,#4484d8
drone folk,566,4803,#619aac
drone metal,115,9312,#9f6ead
drone psych,385,6891,#748491
drone rock,120,8150,#8f71b8
dronescape,36,4510,#497dda
drum and bass,872,18048,#d98083
drumfunk,1035,18102,#cd85ae
dub,1239,14243,#879130
dub brasileiro,1154,16506,#a58f28
dub metal,436,12638,#a271a4
dub poetry,1237,12524,#848424
dub product,1194,14928,#978d97
dub punk,853,14424,#bb742d
dub reggae,1192,18312,#a29867
dub techno,1014,16392,#8892cf
dublin indie,427,11068,#9f8231
dubstep,781,16380,#db793f
dubstep product,804,17239,#c28073
dubsteppe,1165,18583,#c28688
duduk,395,5142,#5da8a8
duluth indie,484,7239,#808b30
dundee indie,395,10831,#ae762e
dunedin indie,444,8102,#948251
dunedin sound,369,9984,#a27b63
dungeon synth,148,8669,#7382c0
duranguense,964,12238,#a98f04
dusseldorf electronic,1136,17593,#ad83ab
dusseldorf indie,604,14104,#b37757
dutch americana,581,7806,#80920d
dutch black metal,57,10688,#cd4198
dutch blues,579,8593,#9a8021
dutch cabaret,909,5321,#767405
dutch classical piano,540,725,#22a4da
dutch contemporary classical,381,1793,#2a979e
dutch death metal,136,10737,#e83e76
dutch disney,703,5844,#708a05
dutch dnb,929,17783,#d87d9c
dutch drill,1165,13900,#93900d
dutch edm,851,17966,#d37c63
dutch experimental,343,6140,#577daf
dutch experimental electronic,864,15204,#968ac0
dutch folk,741,5444,#579d23
dutch hip hop,1102,14009,#a78b0e
dutch house,961,18003,#d37a60
dutch idol pop,751,12169,#919405
dutch indie,543,10305,#938821
dutch indie rock,419,11976,#a68031
dutch jazz,708,5218,#5f9279
dutch metal,190,12245,#cb6339
dutch moombahton,1206,17252,#b68643
dutch musical,540,6189,#768c14
dutch pop,734,11216,#918c0a
dutch prog,515,8642,#968536
dutch punk,320,12257,#de5321
dutch punk rock,295,14459,#dd5d10
dutch r&b,939,12500,#8b940e
dutch rap pop,1133,13933,#a4910f
dutch rock,624,10609,#96840e
dutch singer-songwriter,719,7114,#639b10
dutch stoner rock,213,9986,#ba7266
dutch tech house,1340,19111,#c288b2
dutch trance,713,17783,#d17a74
dutch trap,1129,13471,#9a930e
dutch underground hip hop,1011,9984,#b07d0a
dweilorkest,895,6831,#926b0b
early american folk,746,3625,#45a33d
early avant garde,767,908,#11a8ca
early french punk,526,12427,#c96327
early modern classical,347,652,#219b9a
early music,381,1705,#2ba474
early music choir,95,554,#1fa421
early music ensemble,363,1754,#25a342
early reggae,1165,10579,#848d32
early romantic era,440,480,#1ea3ad
early synthpop,887,16822,#b17950
early us punk,373,10354,#d24e23
east anglia indie,405,11939,#a97f18
east coast hip hop,1107,12962,#b4700e
east coast reggae,993,12413,#a28c14
eastern bloc groove,627,6867,#87843f
easy listening,543,3322,#4e9236
easycore,260,16468,#e25c0b
eau claire indie,463,7128,#7a8f3b
ebm,667,17871,#ca6f64
ecm-style jazz,591,3195,#3e9a9c
ectofolk,610,7055,#689a0b
ecuadorian alternative rock,515,12440,#b7752d
ecuadorian indie,711,12821,#978b36
ecuadorian pop,984,12576,#a88c06
edinburgh indie,421,11839,#a28237
edinburgh metal,175,11534,#d3586e
edm,781,17555,#cb7f48
edmonton indie,533,11167,#9a8625
egyptian alternative,713,10774,#8e8d19
